# Directed graph: Florida-bay.txt
# Florida bay food web: nodes are compartments (organisms and species) and edges are energy flow
# (edge from i to j means that carbon is transferred from i to j)
# Nodes: 128 Edges: 2106
# Downloaded from: https://snap.stanford.edu/data/Florida-bay.html
# FromNodeId ToNodeId
DOC,Free Bacteria
Detritivorous Amphipods,Grunt
Herbivorous Amphipods,Grunt
Isopods,Grunt
Herbivorous Shrimp,Grunt
Predatory Shrimp,Grunt
Pink Shrimp,Grunt
Thor Floridanus,Grunt
Omnivorous Crabs,Grunt
Sailfin Molly,Grunt
Mojarra,Grunt
Mullet,Grunt
Epiphytes,Porgy
Sponges,Porgy
Bivalves,Porgy
Detritivorous Gastropods,Porgy
Epiphytic Gastropods,Porgy
Predatory Gastropods,Porgy
Detritivorous Polychaetes,Porgy
Predatory Polychaetes,Porgy
Suspension Feeding Polych,Porgy
Benthic Crustaceans,Porgy
Detritivorous Amphipods,Porgy
Herbivorous Amphipods,Porgy
Isopods,Porgy
Herbivorous Shrimp,Porgy
Predatory Shrimp,Porgy
Pink Shrimp,Porgy
Omnivorous Crabs,Porgy
Synedococcus,Pinfish
Oscillatoria,Pinfish
Thalassia,Pinfish
Halodule,Pinfish
Syringodium,Pinfish
Drift Algae,Pinfish
Epiphytes,Pinfish
Sponges,Pinfish
Other Cnidaridae,Pinfish
Bivalves,Pinfish
Detritivorous Gastropods,Pinfish
Epiphytic Gastropods,Pinfish
Predatory Gastropods,Pinfish
Detritivorous Polychaetes,Pinfish
Predatory Polychaetes,Pinfish
Suspension Feeding Polych,Pinfish
Macrobenthos,Pinfish
Benthic Crustaceans,Pinfish
Detritivorous Amphipods,Pinfish
Herbivorous Amphipods,Pinfish
Isopods,Pinfish
Herbivorous Shrimp,Pinfish
Predatory Shrimp,Pinfish
Pink Shrimp,Pinfish
Detritivorous Crabs,Pinfish
Omnivorous Crabs,Pinfish
Acartia Tonsa,Scianids
Oithona nana,Scianids
Paracalanus,Scianids
Other Copepoda,Scianids
Meiofauna,Scianids
Bivalves,Scianids
Detritivorous Polychaetes,Scianids
Predatory Polychaetes,Scianids
Suspension Feeding Polych,Scianids
Macrobenthos,Scianids
Benthic Crustaceans,Scianids
Detritivorous Amphipods,Scianids
Herbivorous Amphipods,Scianids
Isopods,Scianids
Herbivorous Shrimp,Scianids
Predatory Shrimp,Scianids
Pink Shrimp,Scianids
Thor Floridanus,Scianids
Lobster,Scianids
Omnivorous Crabs,Scianids
Bay Anchovy,Scianids
Goldspotted killifish,Scianids
Rainwater killifish,Scianids
Sailfin Molly,Scianids
Other Horsefish,Scianids
Gulf Pipefish,Scianids
Dwarf Seahorse,Scianids
Mojarra,Scianids
Mullet,Scianids
Blennies,Scianids
Code Goby,Scianids
Clown Goby,Scianids
Filefishes,Scianids
Other Demersal Fishes,Scianids
Acartia Tonsa,Spotted Seatrout
Oithona nana,Spotted Seatrout
Paracalanus,Spotted Seatrout
Other Copepoda,Spotted Seatrout
Detritivorous Amphipods,Spotted Seatrout
Herbivorous Amphipods,Spotted Seatrout
Herbivorous Shrimp,Spotted Seatrout
Predatory Shrimp,Spotted Seatrout
Pink Shrimp,Spotted Seatrout
Thor Floridanus,Spotted Seatrout
Sardines,Spotted Seatrout
Anchovy,Spotted Seatrout
Bay Anchovy,Spotted Seatrout
Lizardfish,Spotted Seatrout
Toadfish,Spotted Seatrout
Other Killifish,Spotted Seatrout
Goldspotted killifish,Spotted Seatrout
Rainwater killifish,Spotted Seatrout
Mojarra,Spotted Seatrout
Code Goby,Spotted Seatrout
Clown Goby,Spotted Seatrout
Other Demersal Fishes,Spotted Seatrout
Bivalves,Red Drum
Detritivorous Gastropods,Red Drum
Epiphytic Gastropods,Red Drum
Predatory Gastropods,Red Drum
Benthic Crustaceans,Red Drum
Detritivorous Amphipods,Red Drum
Herbivorous Amphipods,Red Drum
Isopods,Red Drum
Herbivorous Shrimp,Red Drum
Predatory Shrimp,Red Drum
Pink Shrimp,Red Drum
Thor Floridanus,Red Drum
Bay Anchovy,Red Drum
Catfish,Red Drum
Toadfish,Red Drum
Brotalus,Red Drum
Other Killifish,Red Drum
Goldspotted killifish,Red Drum
Rainwater killifish,Red Drum
Mojarra,Red Drum
Code Goby,Red Drum
Clown Goby,Red Drum
Filefishes,Red Drum
Other Demersal Fishes,Red Drum
Coral,Spadefish
Other Cnidaridae,Spadefish
Macrobenthos,Spadefish
Benthic Crustaceans,Spadefish
Detritivorous Amphipods,Spadefish
Herbivorous Amphipods,Spadefish
Isopods,Spadefish
Herbivorous Shrimp,Spadefish
Predatory Shrimp,Spadefish
Pink Shrimp,Spadefish
Thor Floridanus,Spadefish
Lobster,Spadefish
Detritivorous Crabs,Spadefish
Omnivorous Crabs,Spadefish
Predatory Crabs,Spadefish
Callinectus sapidus,Spadefish
Stone Crab,Spadefish
Synedococcus,Parrotfish
Oscillatoria,Parrotfish
Drift Algae,Parrotfish
Epiphytes,Parrotfish
Meiofauna,Parrotfish
Sponges,Parrotfish
Coral,Parrotfish
Echinoderma,Parrotfish
Bivalves,Parrotfish
Detritivorous Polychaetes,Parrotfish
Predatory Polychaetes,Parrotfish
Suspension Feeding Polych,Parrotfish
Macrobenthos,Parrotfish
Sardines,Mackerel
Anchovy,Mackerel
Bay Anchovy,Mackerel
Halfbeaks,Mackerel
Needlefish,Mackerel
Goldspotted killifish,Mackerel
Rainwater killifish,Mackerel
Silverside,Mackerel
Puffer,Mackerel
Other Pelagic Fishes,Mackerel
Synedococcus,Mullet
Oscillatoria,Mullet
Drift Algae,Mullet
Epiphytes,Mullet
Benthic Flagellates,Mullet
Benthic Ciliates,Mullet
Meiofauna,Mullet
Macrobenthos,Mullet
Benthic Crustaceans,Mullet
Detritivorous Amphipods,Mullet
Herbivorous Amphipods,Mullet
Isopods,Mullet
Benthic POC,Mullet
Tarpon,Barracuda
Bonefish,Barracuda
Sardines,Barracuda
Anchovy,Barracuda
Bay Anchovy,Barracuda
Halfbeaks,Barracuda
Needlefish,Barracuda
Other Killifish,Barracuda
Goldspotted killifish,Barracuda
Rainwater killifish,Barracuda
Sailfin Molly,Barracuda
Silverside,Barracuda
Other Snapper,Barracuda
Mojarra,Barracuda
Pinfish,Barracuda
Scianids,Barracuda
Spotted Seatrout,Barracuda
Parrotfish,Barracuda
Mullet,Barracuda
Blennies,Barracuda
Code Goby,Barracuda
Clown Goby,Barracuda
Filefishes,Barracuda
Puffer,Barracuda
Other Pelagic Fishes,Barracuda
Other Demersal Fishes,Barracuda
Benthic Crustaceans,Blennies
Detritivorous Amphipods,Blennies
Herbivorous Amphipods,Blennies
Isopods,Blennies
Herbivorous Shrimp,Blennies
Predatory Shrimp,Blennies
Pink Shrimp,Blennies
Thor Floridanus,Blennies
Detritivorous Crabs,Blennies
Omnivorous Crabs,Blennies
Acartia Tonsa,Code Goby
Oithona nana,Code Goby
Paracalanus,Code Goby
Other Copepoda,Code Goby
Detritivorous Polychaetes,Code Goby
Predatory Polychaetes,Code Goby
Suspension Feeding Polych,Code Goby
Benthic Crustaceans,Code Goby
Detritivorous Amphipods,Code Goby
Herbivorous Amphipods,Code Goby
Acartia Tonsa,Clown Goby
Oithona nana,Clown Goby
Paracalanus,Clown Goby
Other Copepoda,Clown Goby
Detritivorous Polychaetes,Clown Goby
Predatory Polychaetes,Clown Goby
Suspension Feeding Polych,Clown Goby
Benthic Crustaceans,Clown Goby
Detritivorous Amphipods,Clown Goby
Herbivorous Amphipods,Clown Goby
Acartia Tonsa,Flatfish
Oithona nana,Flatfish
Paracalanus,Flatfish
Other Copepoda,Flatfish
Meroplankton,Flatfish
Other Zooplankton,Flatfish
Meiofauna,Flatfish
Detritivorous Polychaetes,Flatfish
Predatory Polychaetes,Flatfish
Suspension Feeding Polych,Flatfish
Macrobenthos,Flatfish
Benthic Crustaceans,Flatfish
Detritivorous Amphipods,Flatfish
Herbivorous Amphipods,Flatfish
Isopods,Flatfish
Herbivorous Shrimp,Flatfish
Predatory Shrimp,Flatfish
Pink Shrimp,Flatfish
Thor Floridanus,Flatfish
Omnivorous Crabs,Flatfish
Toadfish,Flatfish
Brotalus,Flatfish
Blennies,Flatfish
Code Goby,Flatfish
Clown Goby,Flatfish
Other Demersal Fishes,Flatfish
Sponges,Filefishes
Coral,Filefishes
Other Cnidaridae,Filefishes
Echinoderma,Filefishes
Bivalves,Filefishes
Detritivorous Gastropods,Filefishes
Epiphytic Gastropods,Filefishes
Predatory Gastropods,Filefishes
Detritivorous Polychaetes,Filefishes
Predatory Polychaetes,Filefishes
Suspension Feeding Polych,Filefishes
Detritivorous Crabs,Filefishes
Omnivorous Crabs,Filefishes
Predatory Crabs,Filefishes
Callinectus sapidus,Filefishes
Echinoderma,Puffer
Bivalves,Puffer
Detritivorous Gastropods,Puffer
Epiphytic Gastropods,Puffer
Predatory Gastropods,Puffer
Detritivorous Polychaetes,Puffer
Predatory Polychaetes,Puffer
Suspension Feeding Polych,Puffer
Macrobenthos,Puffer
Benthic Crustaceans,Puffer
Detritivorous Amphipods,Puffer
Herbivorous Amphipods,Puffer
Herbivorous Shrimp,Puffer
Predatory Shrimp,Puffer
Lobster,Puffer
Detritivorous Crabs,Puffer
Omnivorous Crabs,Puffer
Predatory Crabs,Puffer
Callinectus sapidus,Puffer
Stone Crab,Puffer
Acartia Tonsa,Other Pelagic Fishes
Oithona nana,Other Pelagic Fishes
Paracalanus,Other Pelagic Fishes
Other Copepoda,Other Pelagic Fishes
Herbivorous Shrimp,Other Pelagic Fishes
Predatory Shrimp,Other Pelagic Fishes
Pink Shrimp,Other Pelagic Fishes
Sardines,Other Pelagic Fishes
Anchovy,Other Pelagic Fishes
Bay Anchovy,Other Pelagic Fishes
Halfbeaks,Other Pelagic Fishes
Needlefish,Other Pelagic Fishes
Goldspotted killifish,Other Pelagic Fishes
Rainwater killifish,Other Pelagic Fishes
Silverside,Other Pelagic Fishes
Pinfish,Other Pelagic Fishes
Parrotfish,Other Pelagic Fishes
Filefishes,Other Pelagic Fishes
Puffer,Other Pelagic Fishes
Benthic Phytoplankton,Other Demersal Fishes
Thalassia,Other Demersal Fishes
Halodule,Other Demersal Fishes
Syringodium,Other Demersal Fishes
Drift Algae,Other Demersal Fishes
Epiphytes,Other Demersal Fishes
Meiofauna,Other Demersal Fishes
Sponges,Other Demersal Fishes
Echinoderma,Other Demersal Fishes
Bivalves,Other Demersal Fishes
Detritivorous Gastropods,Other Demersal Fishes
Epiphytic Gastropods,Other Demersal Fishes
Predatory Gastropods,Other Demersal Fishes
Detritivorous Polychaetes,Other Demersal Fishes
Predatory Polychaetes,Other Demersal Fishes
Suspension Feeding Polych,Other Demersal Fishes
Macrobenthos,Other Demersal Fishes
Benthic Crustaceans,Other Demersal Fishes
Detritivorous Amphipods,Other Demersal Fishes
Herbivorous Amphipods,Other Demersal Fishes
Isopods,Other Demersal Fishes
Herbivorous Shrimp,Other Demersal Fishes
Predatory Shrimp,Other Demersal Fishes
Pink Shrimp,Other Demersal Fishes
Omnivorous Crabs,Other Demersal Fishes
Toadfish,Other Demersal Fishes
Brotalus,Other Demersal Fishes
Goldspotted killifish,Other Demersal Fishes
Mojarra,Other Demersal Fishes
Blennies,Other Demersal Fishes
Flatfish,Other Demersal Fishes
Herbivorous Shrimp,Loon
Predatory Shrimp,Loon
Pink Shrimp,Loon
Lobster,Loon
Omnivorous Crabs,Loon
Callinectus sapidus,Loon
Sardines,Loon
Bay Anchovy,Loon
Lizardfish,Loon
Eels,Loon
Toadfish,Loon
Halfbeaks,Loon
Needlefish,Loon
Goldspotted killifish,Loon
Rainwater killifish,Loon
Silverside,Loon
Other Horsefish,Loon
Gulf Pipefish,Loon
Dwarf Seahorse,Loon
Other Snapper,Loon
Mojarra,Loon
Grunt,Loon
Pinfish,Loon
Scianids,Loon
Spotted Seatrout,Loon
Parrotfish,Loon
Blennies,Loon
Code Goby,Loon
Clown Goby,Loon
Flatfish,Loon
Filefishes,Loon
Puffer,Loon
Other Demersal Fishes,Loon
Echinoderma,Greeb
Bivalves,Greeb
Predatory Polychaetes,Greeb
Suspension Feeding Polych,Greeb
Herbivorous Shrimp,Greeb
Predatory Shrimp,Greeb
Pink Shrimp,Greeb
Lobster,Greeb
Omnivorous Crabs,Greeb
Callinectus sapidus,Greeb
Sardines,Greeb
Bay Anchovy,Greeb
Lizardfish,Greeb
Toadfish,Greeb
Halfbeaks,Greeb
Needlefish,Greeb
Goldspotted killifish,Greeb
Rainwater killifish,Greeb
Sailfin Molly,Greeb
Silverside,Greeb
Other Horsefish,Greeb
Gulf Pipefish,Greeb
Dwarf Seahorse,Greeb
Other Snapper,Greeb
Mojarra,Greeb
Grunt,Greeb
Pinfish,Greeb
Scianids,Greeb
Parrotfish,Greeb
Blennies,Greeb
Code Goby,Greeb
Clown Goby,Greeb
Flatfish,Greeb
Filefishes,Greeb
Puffer,Greeb
Other Demersal Fishes,Greeb
Herbivorous Shrimp,Pelican
Predatory Shrimp,Pelican
Pink Shrimp,Pelican
Sardines,Pelican
Bay Anchovy,Pelican
Lizardfish,Pelican
Eels,Pelican
Toadfish,Pelican
Halfbeaks,Pelican
Needlefish,Pelican
Goldspotted killifish,Pelican
Rainwater killifish,Pelican
Silverside,Pelican
Other Horsefish,Pelican
Gulf Pipefish,Pelican
Other Snapper,Pelican
Grunt,Pelican
Pinfish,Pelican
Scianids,Pelican
Parrotfish,Pelican
Blennies,Pelican
Code Goby,Pelican
Clown Goby,Pelican
Flatfish,Pelican
Filefishes,Pelican
Puffer,Pelican
Other Pelagic Fishes,Pelican
Other Demersal Fishes,Pelican
Herbivorous Shrimp,Comorant
Predatory Shrimp,Comorant
Pink Shrimp,Comorant
Sardines,Comorant
Bay Anchovy,Comorant
Lizardfish,Comorant
Eels,Comorant
Toadfish,Comorant
Halfbeaks,Comorant
Needlefish,Comorant
Goldspotted killifish,Comorant
Rainwater killifish,Comorant
Silverside,Comorant
Other Horsefish,Comorant
Gulf Pipefish,Comorant
Dwarf Seahorse,Comorant
Other Snapper,Comorant
Grunt,Comorant
Pinfish,Comorant
Scianids,Comorant
Parrotfish,Comorant
Blennies,Comorant
Code Goby,Comorant
Clown Goby,Comorant
Flatfish,Comorant
Filefishes,Comorant
Puffer,Comorant
Other Demersal Fishes,Comorant
Bivalves,Big Herons & Egrets
Detritivorous Gastropods,Big Herons & Egrets
Detritivorous Polychaetes,Big Herons & Egrets
Predatory Polychaetes,Big Herons & Egrets
Suspension Feeding Polych,Big Herons & Egrets
Macrobenthos,Big Herons & Egrets
Herbivorous Shrimp,Big Herons & Egrets
Predatory Shrimp,Big Herons & Egrets
Pink Shrimp,Big Herons & Egrets
Omnivorous Crabs,Big Herons & Egrets
Sardines,Big Herons & Egrets
Bay Anchovy,Big Herons & Egrets
Catfish,Big Herons & Egrets
Eels,Big Herons & Egrets
Needlefish,Big Herons & Egrets
Goldspotted killifish,Big Herons & Egrets
Rainwater killifish,Big Herons & Egrets
Silverside,Big Herons & Egrets
Other Horsefish,Big Herons & Egrets
Gulf Pipefish,Big Herons & Egrets
Other Snapper,Big Herons & Egrets
Mojarra,Big Herons & Egrets
Grunt,Big Herons & Egrets
Pinfish,Big Herons & Egrets
Scianids,Big Herons & Egrets
Blennies,Big Herons & Egrets
Code Goby,Big Herons & Egrets
Clown Goby,Big Herons & Egrets
Flatfish,Big Herons & Egrets
Filefishes,Big Herons & Egrets
Puffer,Big Herons & Egrets
Other Pelagic Fishes,Big Herons & Egrets
Other Demersal Fishes,Big Herons & Egrets
Bivalves,Small Herons & Egrets
Detritivorous Gastropods,Small Herons & Egrets
Detritivorous Polychaetes,Small Herons & Egrets
Predatory Polychaetes,Small Herons & Egrets
Suspension Feeding Polych,Small Herons & Egrets
Macrobenthos,Small Herons & Egrets
Herbivorous Shrimp,Small Herons & Egrets
Predatory Shrimp,Small Herons & Egrets
Pink Shrimp,Small Herons & Egrets
Omnivorous Crabs,Small Herons & Egrets
Sardines,Small Herons & Egrets
Bay Anchovy,Small Herons & Egrets
Toadfish,Small Herons & Egrets
Other Killifish,Small Herons & Egrets
Goldspotted killifish,Small Herons & Egrets
Rainwater killifish,Small Herons & Egrets
Sailfin Molly,Small Herons & Egrets
Silverside,Small Herons & Egrets
Other Horsefish,Small Herons & Egrets
Gulf Pipefish,Small Herons & Egrets
Dwarf Seahorse,Small Herons & Egrets
Mojarra,Small Herons & Egrets
Pinfish,Small Herons & Egrets
Blennies,Small Herons & Egrets
Code Goby,Small Herons & Egrets
Clown Goby,Small Herons & Egrets
Other Demersal Fishes,Small Herons & Egrets
Bivalves,Ibis
Detritivorous Gastropods,Ibis
Epiphytic Gastropods,Ibis
Detritivorous Polychaetes,Ibis
Predatory Polychaetes,Ibis
Suspension Feeding Polych,Ibis
Macrobenthos,Ibis
Herbivorous Shrimp,Ibis
Predatory Shrimp,Ibis
Pink Shrimp,Ibis
Lobster,Ibis
Detritivorous Crabs,Ibis
Omnivorous Crabs,Ibis
Callinectus sapidus,Ibis
Sardines,Ibis
Bay Anchovy,Ibis
Goldspotted killifish,Ibis
Rainwater killifish,Ibis
Sailfin Molly,Ibis
Silverside,Ibis
Other Horsefish,Ibis
Gulf Pipefish,Ibis
Dwarf Seahorse,Ibis
Mojarra,Ibis
Blennies,Ibis
Code Goby,Ibis
Clown Goby,Ibis
Other Demersal Fishes,Ibis
Bivalves,Roseate Spoonbill
Detritivorous Gastropods,Roseate Spoonbill
Detritivorous Polychaetes,Roseate Spoonbill
Predatory Polychaetes,Roseate Spoonbill
Suspension Feeding Polych,Roseate Spoonbill
Macrobenthos,Roseate Spoonbill
Herbivorous Shrimp,Roseate Spoonbill
Predatory Shrimp,Roseate Spoonbill
Pink Shrimp,Roseate Spoonbill
Lobster,Roseate Spoonbill
Omnivorous Crabs,Roseate Spoonbill
Callinectus sapidus,Roseate Spoonbill
Sardines,Roseate Spoonbill
Bay Anchovy,Roseate Spoonbill
Toadfish,Roseate Spoonbill
Goldspotted killifish,Roseate Spoonbill
Rainwater killifish,Roseate Spoonbill
Sailfin Molly,Roseate Spoonbill
Silverside,Roseate Spoonbill
Other Horsefish,Roseate Spoonbill
Gulf Pipefish,Roseate Spoonbill
Dwarf Seahorse,Roseate Spoonbill
Mojarra,Roseate Spoonbill
Pinfish,Roseate Spoonbill
Blennies,Roseate Spoonbill
Code Goby,Roseate Spoonbill
Clown Goby,Roseate Spoonbill
Other Demersal Fishes,Roseate Spoonbill
Thalassia,Herbivorous Ducks
Halodule,Herbivorous Ducks
Syringodium,Herbivorous Ducks
Epiphytes,Herbivorous Ducks
Bivalves,Herbivorous Ducks
Detritivorous Gastropods,Herbivorous Ducks
Epiphytic Gastropods,Herbivorous Ducks
Predatory Gastropods,Herbivorous Ducks
Detritivorous Polychaetes,Herbivorous Ducks
Predatory Polychaetes,Herbivorous Ducks
Suspension Feeding Polych,Herbivorous Ducks
Herbivorous Shrimp,Herbivorous Ducks
Predatory Shrimp,Herbivorous Ducks
Pink Shrimp,Herbivorous Ducks
Detritivorous Crabs,Herbivorous Ducks
Omnivorous Crabs,Herbivorous Ducks
Callinectus sapidus,Herbivorous Ducks
Goldspotted killifish,Herbivorous Ducks
Rainwater killifish,Herbivorous Ducks
Code Goby,Herbivorous Ducks
Thalassia,Omnivorous Ducks
Halodule,Omnivorous Ducks
Syringodium,Omnivorous Ducks
Epiphytes,Omnivorous Ducks
Bivalves,Omnivorous Ducks
Detritivorous Gastropods,Omnivorous Ducks
Epiphytic Gastropods,Omnivorous Ducks
Predatory Gastropods,Omnivorous Ducks
Detritivorous Polychaetes,Omnivorous Ducks
Predatory Polychaetes,Omnivorous Ducks
Suspension Feeding Polych,Omnivorous Ducks
Herbivorous Shrimp,Omnivorous Ducks
Predatory Shrimp,Omnivorous Ducks
Pink Shrimp,Omnivorous Ducks
Detritivorous Crabs,Omnivorous Ducks
Omnivorous Crabs,Omnivorous Ducks
Callinectus sapidus,Omnivorous Ducks
Goldspotted killifish,Omnivorous Ducks
Rainwater killifish,Omnivorous Ducks
Gulf Pipefish,Omnivorous Ducks
Mojarra,Omnivorous Ducks
Code Goby,Omnivorous Ducks
Bivalves,Predatory Ducks
Detritivorous Gastropods,Predatory Ducks
Detritivorous Polychaetes,Predatory Ducks
Predatory Polychaetes,Predatory Ducks
Suspension Feeding Polych,Predatory Ducks
Herbivorous Shrimp,Predatory Ducks
Predatory Shrimp,Predatory Ducks
Pink Shrimp,Predatory Ducks
Omnivorous Crabs,Predatory Ducks
Callinectus sapidus,Predatory Ducks
Sardines,Predatory Ducks
Bay Anchovy,Predatory Ducks
Lizardfish,Predatory Ducks
Eels,Predatory Ducks
Toadfish,Predatory Ducks
Halfbeaks,Predatory Ducks
Needlefish,Predatory Ducks
Goldspotted killifish,Predatory Ducks
Rainwater killifish,Predatory Ducks
Silverside,Predatory Ducks
Other Horsefish,Predatory Ducks
Gulf Pipefish,Predatory Ducks
Dwarf Seahorse,Predatory Ducks
Other Snapper,Predatory Ducks
Mojarra,Predatory Ducks
Grunt,Predatory Ducks
Pinfish,Predatory Ducks
Scianids,Predatory Ducks
Spotted Seatrout,Predatory Ducks
Parrotfish,Predatory Ducks
Blennies,Predatory Ducks
Code Goby,Predatory Ducks
Clown Goby,Predatory Ducks
Flatfish,Predatory Ducks
Filefishes,Predatory Ducks
Puffer,Predatory Ducks
Other Demersal Fishes,Predatory Ducks
Rays,Raptors
Tarpon,Raptors
Lizardfish,Raptors
Catfish,Raptors
Eels,Raptors
Toadfish,Raptors
Brotalus,Raptors
Halfbeaks,Raptors
Needlefish,Raptors
Jacks,Raptors
Other Snapper,Raptors
Gray Snapper,Raptors
Mojarra,Raptors
Grunt,Raptors
Pinfish,Raptors
Scianids,Raptors
Spotted Seatrout,Raptors
Red Drum,Raptors
Spadefish,Raptors
Parrotfish,Raptors
Mullet,Raptors
Barracuda,Raptors
Flatfish,Raptors
Filefishes,Raptors
Puffer,Raptors
Other Demersal Fishes,Raptors
Pelican,Raptors
Comorant,Raptors
Big Herons & Egrets,Raptors
Small Herons & Egrets,Raptors
Ibis,Raptors
Roseate Spoonbill,Raptors
Herbivorous Ducks,Raptors
Omnivorous Ducks,Raptors
Gruiformes,Raptors
Small Shorebirds,Raptors
Gulls & Terns,Raptors
Bivalves,Gruiformes
Detritivorous Gastropods,Gruiformes
Epiphytic Gastropods,Gruiformes
Predatory Gastropods,Gruiformes
Detritivorous Polychaetes,Gruiformes
Predatory Polychaetes,Gruiformes
Suspension Feeding Polych,Gruiformes
Macrobenthos,Gruiformes
Herbivorous Shrimp,Gruiformes
Predatory Shrimp,Gruiformes
Pink Shrimp,Gruiformes
Lobster,Gruiformes
Detritivorous Crabs,Gruiformes
Omnivorous Crabs,Gruiformes
Callinectus sapidus,Gruiformes
Sardines,Gruiformes
Bay Anchovy,Gruiformes
Goldspotted killifish,Gruiformes
Rainwater killifish,Gruiformes
Silverside,Gruiformes
Other Horsefish,Gruiformes
Gulf Pipefish,Gruiformes
Dwarf Seahorse,Gruiformes
Mojarra,Gruiformes
Blennies,Gruiformes
Code Goby,Gruiformes
Clown Goby,Gruiformes
Other Demersal Fishes,Gruiformes
Bivalves,Small Shorebirds
Detritivorous Gastropods,Small Shorebirds
Epiphytic Gastropods,Small Shorebirds
Predatory Gastropods,Small Shorebirds
Detritivorous Polychaetes,Small Shorebirds
Predatory Polychaetes,Small Shorebirds
Suspension Feeding Polych,Small Shorebirds
Macrobenthos,Small Shorebirds
Herbivorous Shrimp,Small Shorebirds
Predatory Shrimp,Small Shorebirds
Pink Shrimp,Small Shorebirds
Lobster,Small Shorebirds
Detritivorous Crabs,Small Shorebirds
Omnivorous Crabs,Small Shorebirds
Predatory Crabs,Small Shorebirds
Callinectus sapidus,Small Shorebirds
Sardines,Small Shorebirds
Bay Anchovy,Small Shorebirds
Goldspotted killifish,Small Shorebirds
Rainwater killifish,Small Shorebirds
Silverside,Small Shorebirds
Other Horsefish,Small Shorebirds
Gulf Pipefish,Small Shorebirds
Dwarf Seahorse,Small Shorebirds
Mojarra,Small Shorebirds
Blennies,Small Shorebirds
Code Goby,Small Shorebirds
Clown Goby,Small Shorebirds
Other Demersal Fishes,Small Shorebirds
Bivalves,Gulls & Terns
Detritivorous Gastropods,Gulls & Terns
Epiphytic Gastropods,Gulls & Terns
Predatory Gastropods,Gulls & Terns
Detritivorous Polychaetes,Gulls & Terns
Predatory Polychaetes,Gulls & Terns
Suspension Feeding Polych,Gulls & Terns
Macrobenthos,Gulls & Terns
Herbivorous Shrimp,Gulls & Terns
Predatory Shrimp,Gulls & Terns
Pink Shrimp,Gulls & Terns
Lobster,Gulls & Terns
Detritivorous Crabs,Gulls & Terns
Omnivorous Crabs,Gulls & Terns
Callinectus sapidus,Gulls & Terns
Sardines,Gulls & Terns
Bay Anchovy,Gulls & Terns
Goldspotted killifish,Gulls & Terns
Rainwater killifish,Gulls & Terns
Silverside,Gulls & Terns
Other Horsefish,Gulls & Terns
Gulf Pipefish,Gulls & Terns
Dwarf Seahorse,Gulls & Terns
Mojarra,Gulls & Terns
Blennies,Gulls & Terns
Code Goby,Gulls & Terns
Clown Goby,Gulls & Terns
Other Demersal Fishes,Gulls & Terns
Herbivorous Shrimp,Kingfisher
Predatory Shrimp,Kingfisher
Pink Shrimp,Kingfisher
Omnivorous Crabs,Kingfisher
Callinectus sapidus,Kingfisher
Sardines,Kingfisher
Bay Anchovy,Kingfisher
Goldspotted killifish,Kingfisher
Rainwater killifish,Kingfisher
Sailfin Molly,Kingfisher
Silverside,Kingfisher
Other Horsefish,Kingfisher
Gulf Pipefish,Kingfisher
Dwarf Seahorse,Kingfisher
Mojarra,Kingfisher
Blennies,Kingfisher
Code Goby,Kingfisher
Clown Goby,Kingfisher
Other Demersal Fishes,Kingfisher
Herbivorous Shrimp,Crocodiles
Predatory Shrimp,Crocodiles
Pink Shrimp,Crocodiles
Lobster,Crocodiles
Detritivorous Crabs,Crocodiles
Omnivorous Crabs,Crocodiles
Callinectus sapidus,Crocodiles
Tarpon,Crocodiles
Lizardfish,Crocodiles
Catfish,Crocodiles
Eels,Crocodiles
Toadfish,Crocodiles
Brotalus,Crocodiles
Halfbeaks,Crocodiles
Needlefish,Crocodiles
Snook,Crocodiles
Jacks,Crocodiles
Pompano,Crocodiles
Other Snapper,Crocodiles
Gray Snapper,Crocodiles
Mojarra,Crocodiles
Grunt,Crocodiles
Pinfish,Crocodiles
Scianids,Crocodiles
Spotted Seatrout,Crocodiles
Red Drum,Crocodiles
Spadefish,Crocodiles
Parrotfish,Crocodiles
Mullet,Crocodiles
Barracuda,Crocodiles
Flatfish,Crocodiles
Filefishes,Crocodiles
Puffer,Crocodiles
Other Pelagic Fishes,Crocodiles
Other Demersal Fishes,Crocodiles
Big Herons & Egrets,Crocodiles
Small Herons & Egrets,Crocodiles
Loggerhead Turtle,Crocodiles
Green Turtle,Crocodiles
Sponges,Loggerhead Turtle
Other Cnidaridae,Loggerhead Turtle
Echinoderma,Loggerhead Turtle
Bivalves,Loggerhead Turtle
Detritivorous Gastropods,Loggerhead Turtle
Epiphytic Gastropods,Loggerhead Turtle
Predatory Gastropods,Loggerhead Turtle
Detritivorous Polychaetes,Loggerhead Turtle
Predatory Polychaetes,Loggerhead Turtle
Suspension Feeding Polych,Loggerhead Turtle
Herbivorous Shrimp,Loggerhead Turtle
Predatory Shrimp,Loggerhead Turtle
Pink Shrimp,Loggerhead Turtle
Lobster,Loggerhead Turtle
Detritivorous Crabs,Loggerhead Turtle
Omnivorous Crabs,Loggerhead Turtle
Callinectus sapidus,Loggerhead Turtle
Goldspotted killifish,Loggerhead Turtle
Rainwater killifish,Loggerhead Turtle
Mojarra,Loggerhead Turtle
Code Goby,Loggerhead Turtle
Thalassia,Green Turtle
